topo,n,rate,pat,sent,recv,time_taken,injection_rate,sustained_rate,if_worst_latency,queue_cumu_worst_latency,sum_queueing,worst_total_latency,sa,average_latency
hoplite_1,64,30,local,65536,65536,6061,30,1,1,1,1,2861,.49925411098278611890,1349.10621643066406250000
hoplite_1,64,31,local,65536,65536,5986,31,1,1,1,1,2946,.50266768292682926829,1377.69725036621093750000
hoplite_1,64,32,local,65536,65536,6002,32,1,1,1,1,3066,.50229263856492280350,1419.61119079589843750000
hoplite_1,64,33,local,65536,65536,5956,33,1,1,1,1,3088,.50505967371837922543,1455.58682250976562500000
hoplite_1,64,34,local,65536,65536,6015,34,1,1,1,1,3232,.50222966888334718758,1507.92781066894531250000
hoplite_1,64,35,local,65536,65536,6002,35,1,1,1,1,3240,.50449416166833277796,1537.04289245605468750000
hoplite_1,64,36,local,65536,65536,5939,36,1,1,1,1,3247,.50913804231913341190,1559.95663452148437500000
hoplite_1,64,37,local,65536,65536,5988,37,1,1,1,1,3334,.50699837174348697394,1600.62791442871093750000
hoplite_1,64,38,local,65536,65536,5980,38,1,1,1,1,3456,.50899874581939799331,1635.73194885253906250000
hoplite_1,64,39,local,65536,65536,5913,39,1,1,1,1,3493,.51308205084841310107,1653.21424865722656250000
hoplite_1,64,40,local,65536,65536,5922,40,1,1,1,1,3529,.51108419875042215467,1674.80091857910156250000
hoplite_1,64,41,local,65536,65536,5916,41,1,1,1,1,3534,.51067637902862294343,1701.86361694335937500000
hoplite_1,64,42,local,65536,65536,5942,42,1,1,1,1,3705,.51052710927858184674,1716.67321777343750000000
hoplite_1,64,43,local,65536,65536,5931,43,1,1,1,1,3691,.51387483841960321474,1770.08671569824218750000
hoplite_1,64,44,local,65536,65536,5929,44,1,1,1,1,3675,.51101752684544892337,1757.54263305664062500000
hoplite_1,64,45,local,65536,65536,5974,45,1,1,1,1,3920,.50753264144626715768,1806.46611022949218750000
hoplite_1,64,46,local,65536,65536,6071,46,1,1,1,1,3935,.50327204469335090320,1852.68278503417968750000
hoplite_1,64,47,local,65536,65536,5939,47,1,1,1,1,3894,.51080779592523993938,1845.53421020507812500000
hoplite_1,64,48,local,65536,65536,5890,48,1,1,1,1,3867,.51367430673457838143,1853.03474426269531250000
hoplite_1,64,49,local,65536,65536,5912,49,1,1,1,1,3950,.51423834291835814163,1879.98715209960937500000
hoplite_1,64,50,local,65536,65536,5904,50,1,1,1,1,3903,.51066543868563685636,1873.90208435058593750000
hoplite_1,64,1,random,65536,65536,53679,1,1,1,1,1,728,.05484958425703409775,43.37434387207031250000
hoplite_1,64,2,random,65536,65536,35509,2,1,1,1,1,764,.08565756803439503600,72.01354980468750000000
hoplite_1,64,3,random,65536,65536,26959,3,1,1,1,1,615,.11688698579324158907,106.84503173828125000000
hoplite_1,64,4,random,65536,65536,21826,4,1,1,1,1,734,.14935121338464827881,143.21415710449218750000
hoplite_1,64,5,random,65536,65536,18374,5,1,1,1,1,830,.18451514368128877762,200.21319580078125000000
hoplite_1,64,6,random,65536,65536,15964,6,1,1,1,1,967,.22171304706422784598,284.21467590332031250000
hoplite_1,64,7,random,65536,65536,13618,7,1,1,1,1,1171,.27111482351789298477,372.56890869140625000000
hoplite_1,64,8,random,65536,65536,12212,8,1,1,1,1,1272,.31390188271099465007,479.29110717773437500000
hoplite_1,64,9,random,65536,65536,11271,9,1,1,1,1,1573,.35334921110223878389,632.44841003417968750000
hoplite_1,64,10,random,65536,65536,10704,10,1,1,1,1,1995,.38151138982311908320,788.83842468261718750000
hoplite_1,64,11,random,65536,65536,10284,11,1,1,1,1,2134,.40509883881109814598,946.91015625000000000000
hoplite_1,64,12,random,65536,65536,9993,12,1,1,1,1,2437,.42280794472797625004,1114.60475158691406250000
hoplite_1,64,13,random,65536,65536,9774,13,1,1,1,1,2826,.43738383295818839096,1274.45872497558593750000
hoplite_1,64,14,random,65536,65536,9626,14,1,1,1,1,2981,.44989752146963086086,1444.02259826660156250000
hoplite_1,64,15,random,65536,65536,9463,15,1,1,1,1,3354,.46017218376836098488,1579.58531188964843750000
hoplite_1,64,16,random,65536,65536,9399,16,1,1,1,1,3587,.46442440685179274390,1713.10156250000000000000
hoplite_1,64,17,random,65536,65536,9375,17,1,1,1,1,4110,.46773722222222222222,1837.79006958007812500000
hoplite_1,64,18,random,65536,65536,9270,18,1,1,1,1,4043,.47644788295577130528,1961.36277770996093750000
hoplite_1,64,19,random,65536,65536,9301,19,1,1,1,1,4320,.47668877450453356269,2088.65667724609375000000
hoplite_1,64,20,random,65536,65536,9234,20,1,1,1,1,4609,.48165464136163453902,2186.46957397460937500000
hoplite_1,64,21,random,65536,65536,9215,21,1,1,1,1,4779,.47965556610598661602,2250.08335876464843750000
hoplite_1,64,22,random,65536,65536,9200,22,1,1,1,1,4983,.48292742300724637681,2350.03421020507812500000
hoplite_1,64,23,random,65536,65536,9124,23,1,1,1,1,5144,.48588087278971211456,2405.87112426757812500000
hoplite_1,64,24,random,65536,65536,9142,24,1,1,1,1,5280,.48721844691168963757,2505.54829406738281250000
hoplite_1,64,25,random,65536,65536,9108,25,1,1,1,1,5433,.48962164672083150344,2569.02775573730468750000
hoplite_1,64,26,random,65536,65536,9067,26,1,1,1,1,5450,.48986595161942575640,2616.97494506835937500000
hoplite_1,64,27,random,65536,65536,9091,27,1,1,1,1,5559,.48890042349576504234,2669.90180969238281250000
hoplite_1,64,28,random,65536,65536,9077,28,1,1,1,1,5723,.49295150747310051044,2763.52264404296875000000
hoplite_1,64,29,random,65536,65536,9100,29,1,1,1,1,5780,.49149496336996336996,2809.92599487304687500000
hoplite_1,64,30,random,65536,65536,9134,30,1,1,1,1,5949,.49152947321363404131,2878.74395751953125000000
hoplite_1,64,31,random,65536,65536,9047,31,1,1,1,1,6025,.49475942761873180796,2910.95742797851562500000
hoplite_1,64,32,random,65536,65536,9106,32,1,1,1,1,6112,.49122716706933157625,2956.96867370605468750000
hoplite_1,64,33,random,65536,65536,9032,33,1,1,1,1,6159,.49672230218482432831,3000.13323974609375000000
hoplite_1,64,34,random,65536,65536,9098,34,1,1,1,1,6323,.49376293782516303949,3059.53434753417968750000
hoplite_1,64,35,random,65536,65536,9043,35,1,1,1,1,6368,.49599367835157949058,3074.69824218750000000000
